Timestamp,Title,Link
19 Min Ago,I reached financial independence at 38. How I built a seven-figure real estate portfolio,https://www.cnbc.com/2024/09/17/how-i-reached-financial-independence-at-38-by-investing-in-real-estate.html
1 Hour Ago,European stocks set to open higher with central bank decisions in focus,https://www.cnbc.com/2024/09/17/european-markets-stocks-news-data-and-earnings.html
2 Hours Ago,China seeks a homegrown alternative to Nvidia — these are the companies to watch,https://www.cnbc.com/2024/09/17/chinese-companies-aiming-to-compete-with-nvidia-on-ai-chips.html
2 Hours Ago,David Tepper and Michael Burry are quietly upping their bets on China,https://www.cnbc.com/2024/09/17/tepper-and-burry-upping-their-bets-on-the-chinese-economy.html
2 Hours Ago,A push toward sustainable jet fuel is leaving investors with unanswered questions,https://www.cnbc.com/2024/09/17/push-toward-sustainable-jet-fuel-is-leaving-investors-with-unanswered-questions.html
5 Hours Ago,CNBC Daily Open: Tech might not be the biggest beneficiary of rate cuts,https://www.cnbc.com/2024/09/17/cnbc-daily-open-tech-might-not-be-the-biggest-beneficiary-of-rate-cut.html
6 Hours Ago,"New details of Trump family crypto project released, including who can buy in ",https://www.cnbc.com/2024/09/16/trump-crypto-world-liberty-financial.html
7 Hours Ago,Nikkei falls over 1% as yen strengthens; Asia markets trade mixed ahead of Fed meeting,https://www.cnbc.com/2024/09/17/asia-markets.html
8 Hours Ago,E.l.f. Beauty CEO says low prices have helped company thrive as industry slows,https://www.cnbc.com/2024/09/16/elf-beauty-ceo-says-low-prices-have-helped-company-see-gains.html
8 Hours Ago,India's central bank chief plays down fears of a deposit crunch,https://www.cnbc.com/2024/09/17/indias-central-bank-chief-plays-down-fears-of-a-deposit-crunch.html
8 Hours Ago,"Cramer's Lightning Round: Herbalife is 'too controversial, too crazy'",https://www.cnbc.com/2024/09/16/cramers-lightning-round-herbalife-is-too-controversial-too-crazy.html
8 Hours Ago,N/A,/pro/
8 Hours Ago,N/A,/pro/
8 Hours Ago,Tuesday's stock stories: What's likely to move the market in the next session,https://www.cnbc.com/2024/09/16/tuesdays-big-stock-stories-whats-likely-to-move-the-market.html
8 Hours Ago,Broadcom CEO explains why the company increased AI revenue guidance,https://www.cnbc.com/2024/09/16/broadcom-ceo-explains-why-the-company-increased-ai-revenue-guidance.html
8 Hours Ago,Cramer says to 'sit on your hands' until the Fed makes a rate cut decision,https://www.cnbc.com/2024/09/16/cramer-says-to-sit-on-your-hands-until-the-fed-rate-decision.html
8 Hours Ago,"The BOJ's next rate hike may come in December, not this week: CNBC survey",https://www.cnbc.com/2024/09/16/cnbc-boj-survey-no-rate-hike-expected-for-sept-predictions-for-oct-dec.html
9 Hours Ago,"Stock futures are little changed as Wall Street braces for retail sales data, Fed policy meeting",https://www.cnbc.com/2024/09/16/stock-market-today-live-updates.html
10 Hours Ago,Ohio governor says 'at least 33' bomb threats prompt Springfield daily school sweeps,https://www.cnbc.com/2024/09/16/springfield-bomb-threats-ohio-republican.html
10 Hours Ago,OpenAI announces new independent board oversight committee focused on safety,https://www.cnbc.com/2024/09/16/openai-announces-new-independent-board-oversight-committee-for-safety.html
10 Hours Ago,Biden administration awards Intel up to $3 billion under the CHIPS Act,https://www.cnbc.com/2024/09/16/intel-awarded-up-to-3-billion-under-chips-act.html
11 Hours Ago,N/A,/pro/
11 Hours Ago,"Intel stock jumps on plan to turn foundry unit into subsidiary, allow outside funding",https://www.cnbc.com/2024/09/16/intel-turns-foundry-business-into-subsidiary-weighs-outside-funding.html
11 Hours Ago,N/A,/investingclub/
11 Hours Ago,Michael Kors says it's harder to sell handbags in TikTok and Taylor Swift era,https://www.cnbc.com/2024/09/16/tapestry-capri-antitrust-trial-michael-kors-testifies.html
11 Hours Ago,UAW union files unfair labor charges against Stellantis,https://www.cnbc.com/2024/09/16/uaw-united-auto-workers-union-unfair-labor-charges-stellantis.html
12 Hours Ago,N/A,/pro/
12 Hours Ago,Save on taxes and bolster your portfolio before year-end with these moves,https://www.cnbc.com/2024/09/16/save-on-taxes-and-bolster-your-portfolio-before-year-end-with-these-moves.html
12 Hours Ago,"This 'back of the napkin math' shows if you're on track for taxes, pro says",https://www.cnbc.com/2024/09/16/tax-withholding-irs.html
12 Hours Ago,"'Embracing my femininity' helped WNBA's Cameron Brink become a star,' she says",https://www.cnbc.com/2024/09/16/embracing-my-femininity-helped-wnbas-cameron-brink-become-a-star.html
